PartNo,pollingStation,NTKVotes2019,TotalVotes,PolledVotes,NTKpercentage,BoothAdress,Panchayat,UnionBlocks,Hamlets,Male,Female,TotalVotes,ThirdGender,MainTownOrVillage ,Mandalam ,Birga ,PoliceStation,Taluk ,District,Pincode,PageNo ,Thoguthi ,Status ,OverlapPartNo ,Scope 
210-15,ஊராட்சி ஒன்றிய நடுநிலை பள்ளி கவலைவென்றான் ,16,995,633,2.5,கிழக்கு பகுதி ,துத்தாக்குடி ,திருவாடனை ,"கவலை வென்றான் வார்டு 1
கம்பக்கோட்டை  வார்டு 2
மேலக்கோட்டை வார்டு 3
செக்குடி வார்டு 4
துத்தாக்குடி வார்டு 5",503,491,995,1,துத்தாக்குடி,துத்தாக்குடி,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,38,210,,,
210-16,ஊராட்சி ஒன்றிய தொடக்க பள்ளி கீழக்கோட்டை ,72,709,372,19.4,மேற்கு வடக்கு பகுதி ,சிறுமலைக்கோட்டை ,திருவாடனை ,"பிரான்தான்வயல் வார்டு 1
சிறுமலைக்கோட்டை  வார்டு 2",380,329,709,,சிறுமலைக்கோட்டை,சிறுமலைக்கோட்டை,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,27,210,,,
210-17,ஊராட்சி ஒன்றிய தொடக்க பள்ளி கீழக்கோட்டை ,72,779,490,14.7,மேற்கு தெற்கு பகுதி ,"சிறுமலைக்கோட்டை 
",திருவாடனை ,"கீழக்கோட்டை வார்டு 1
செட்டியேந்தல் வார்டு 1
",416,362,778,,சிறுமலைக்கோட்டை,சிறுமலைக்கோட்டை,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,32,210,,17,
210-17,ஊராட்சி ஒன்றிய தொடக்க பள்ளி கீழக்கோட்டை ,,,,#DIV/0!,மேற்கு தெற்கு பகுதி ,கடம்பூர்,திருவாடனை ,"சேந்தனி வார்டு 3
கலியணி வார்டு 4
சம்பாநெட்டி வார்டு 4",0,0,0,,,,,,,,,0,210,,17,
210-18,ஊராட்சி ஒன்றிய தொடக்க பள்ளி மங்களக்குடி ,6,755,449,1.3,கிழக்கு பகுதி ,மங்களக்குடி ,திருவாடனை ,மங்களக்குடி வார்டு 1,398,357,755,,மங்களக்குடி ,மங்களக்குடி ,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,28,210,,,
210-19,ஊராட்சி ஒன்றிய தொடக்க பள்ளி மங்களக்குடி ,10,962,621,1.6,மேற்கு பகுதி தெற்கு பக்கம் ,மங்களக்குடி ,திருவாடனை ,மங்களக்குடி வார்டு 2,472,490,962,,மங்களக்குடி ,மங்களக்குடி ,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,34,210,,,
210-20,ஊராட்சி ஒன்றிய தொடக்க பள்ளி மங்களக்குடி ,39,737,496,7.9,மேற்கு பகுதி வடக்கு பக்கம் ,மங்களக்குடி ,திருவாடனை ,"சம்பூரணி  வார்டு 3
வளையல் வயல் வார்டு 3
ஊமை உடையான் மடை வார்டு 3",395,342,737,,சம்பூரணி  மற்றும் மங்களக்குடி ,மங்களக்குடி ,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,29,210,,,
210-21,ஊராட்சி ஒன்றிய தொடக்க பள்ளி பெருவாக்கோட்டை,25,706,442,5.7,கிழக்கு பகுதி ,அரசத்தூர் ,திருவாடனை ,"பெருவாக்கோட்டை வார்டு 1
கட்டிமங்களம் வார்டு 1",359,346,705,,கட்டிமங்களம்,கட்டிமங்களம்,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,27,210,,,
210-22,ஊராட்சி ஒன்றிய தொடக்க பள்ளி பெருவாக்கோட்டை,31,839,560,5.5,மேற்கு பகுதி ,அரசத்தூர் ,திருவாடனை ,"வலையனேந்தல் வார்டு 2
அரசத்தூர் வார்டு 3
கெங்கைவிலாசம் வார்டு 3",439,399,839,1,அரசத்தூர்,கட்டிமங்களம்,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,32,210,,,
210-23,ஊராட்சி ஒன்றிய தொடக்க பள்ளி அடுத்தக்குடி,26,573,366,7.1,,அரசத்தூர் ,திருவாடனை ,அடுத்தக்குடி வார்டு 2,287,285,572,,கட்டிமங்களம்,கட்டிமங்களம்,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,23,210,,,
