PartNo,pollingStation,NTKVotes2019,TotalVotes,PolledVotes,NTKpercentage,BoothAdress,Panchayat,UnionBlocks,Hamlets,Male,Female,TotalVotes,ThirdGender,MainTownOrVillage ,Mandalam ,Birga ,PoliceStation,Taluk ,District,Pincode,PageNo ,Thoguthi ,Status ,OverlapPartNo ,Scope 
210-74,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, தேளூர்",43,940,613,7,கிழக்கு பகுதி,தேளூர் ,திருவாடனை ,"பழங்குளம் (வார்டு 2)
சேமன்வயல் (வார்டு 2)
மல்லனூர் (வார்டு 2)",503,437,940,,தேளூர் ,மல்லனூர்,புல்லூர் ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,36,210,,,
210-75,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, தேளூர்",80,974,617,13,மேற்கு பகுதி,தேளூர் ,திருவாடனை ,"தேளூர் (வார்டு 4)
குருமிலாங்குடி (வார்டு 4)
பாப்பனேந்தல்,கருங்காலக்குடி (வார்டு 3)",503,471,974,,தேளூர் ,தேளூர் ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,37,210,,,
210-76,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, கொடிப்பங்கு
",60,888,658,9.1,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, கொடிப்பங்கு
",கொடிப்பங்கு,திருவாடனை ,"செங்கலான்வயல் வார்டு 1
கருத்த பத்தை வார்டு 1
கொடிபங்கு
நாரேந்தல்",475,413,888,,கொடிப்பங்கு,மச்சூர் ,புல்லூர் ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,34,210,,,
210-77,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, கொடிப்பங்கு",22,570,429,5.1,மேற்கு பக்கம்,கொடிப்பங்கு,திருவாடனை ,"மம்மலக்கரை
வேலங்குடி
விளக்கானேந்தல்
சிறுகவயல்
அசுரவயல்
ராஜாக்கவயல்",295,275,570,,கொடிப்பங்கு,மச்சூர் ,புல்லூர் ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,26,210,,,
210-78,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, வட்டாணம்",11,821,571,1.9,,வட்டாணம்,திருவாடனை ,"தாமோதரப்பட்டிணம் (வார்டு 1)
வண்ணான்குளம் (வார்டு 2)
வட்டாணம் (வார்டு 2)",429,392,821,,வட்டாணம்,வட்டாணம்,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623409,32,210,,,
210-79,"அரசு உயர்நிலைப்பள்ளி, வட்டாணம்",25,682,452,5.5,,வட்டாணம்,திருவாடனை ,"ஆர்.சி.நகர் நந்தியான்கோட்டை தென்வயல் (வார்டு 3)
ஓடவயல் (வார்டு 3)
மச்சூர் (வார்டு 3)
நல்லகிராமவயல் (வார்டு 3)",348,334,682,,வட்டாணம்,வட்டாணம்,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623409,27,210,,,
210-80,"ஊராட்சி ஒன்றிய நடுநிலை பள்ளி,  பாசிப்பட்டிணம்",25,862,510,4.9,மேற்குக்கட்டிடம் - கிழக்குப் பகுதி,கலியநகரி,திருவாடனை ,"கலியநகரி பரப்புவயல் (வார்டு 1)
பாசிப்பட்டிணம் (வார்டு 3)",443,419,862,,கலியநகரி,வட்டாணம்,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623409,33,210,,,
210-81,"ஊராட்சி ஒன்றிய நடுநிலை பள்ளி,  பாசிப்பட்டிணம்",6,644,493,1.2,மேற்குக் கட்டிடம் - கிழக்குப்பகுதி,கலியநகரி,திருவாடனை ,பாசிப்பட்டிணம் (வார்டு 2),346,298,644,,பாசிப்பட்டிணம்,வட்டாணம்,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623409,24,210,,,
210-82,"ஊராட்சி ஒன்றிய நடு நிலைப்பள்ளி, பாசிபட்டிணம்",4,758,553,0.7,கூடுதல் கட்டிடம் (கிழக்குப்பகுதி),கலியநகரி,திருவாடனை ,"பாசிப்பட்டிணம் (வார்டு 3)
பாசிப்பட்டிணம் (வார்டு 4)",385,373,758,,பாசிப்பட்டிணம்,வட்டாணம்,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623409,29,210,,,
210-83,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  தீர்த்தாண்டதானம்",46,1069,759,6.1,"தெற்குப்பகுதி, புதுக்கட்டிடம்,",புல்லக்கடம்பன்,திருவாடனை ,"புல்லக்கடம்பன்(வார்டு 1)
ஸ்தானிகன்வயல்(வார்டு 2)
மாணவநகரி(வார்டு 3)
மருங்கூர்(வார்டு 2)",546,523,1069,,மருங்கூர் மற்றும் புல்லக்கடம்பன்,மருங்கூர்,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623409,41,210,,,
210-84,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  தீர்த்தாண்டதானம்",30,750,499,6,"வடக்குப்பகுதி, புதியக்கட்டிடம்",புல்லக்கடம்பன்,திருவாடனை ,"எட்டிசேரி வார்டு 5
இடையன்வயல் வார்டு 6
சோழகன்பேட்டை(எ)ரெகுநாதசமுத்திரம் வார்டு 7
புதுக்குடிஇருப்பு வார்டு 7",376,373,749,,ரெகுநாதசமுத்திரம் ,மருங்கூர்,புல்லூர் ,S P பட்டிணம் ,திருவாடனை ,இராமநாதபுரம் ,623409,30,210,,,
210-85,"வில்ஹெம் நடுநிலைப்பள்ளி, தொண்டி",41,814,582,7,"தெற்குப்பக்கம் - கூடுதல் கட்டிடம்,",தொண்டி,தொண்டி,"அக்ரஹாரம் 1வது தெரு வார்டு 1
அக்ரஹாரம் 2வது தெரு (வார்டு 1)
சத்திரம் 1வது தெரு (வார்டு 1)
சத்திரம் 2வது தெரு (வார்டு 1)
தீர்த்தக்கரை தெரு (வார்டு 2)
பவுண்டு தோப்பு தெரு (வார்டு 1)
சத்திரம் தெற்கு தெரு வார்டு 2
ஆஸ்பத்திரி தெற்கு தெரு (வார்டு 2)
பெருமாள் கோவில் சன்னதிதெரு (வார்டு 2)
தட்டர் தெரு (வார்டு 2)
சிவன்கோவில் தெற்குதெரு (வார்டு 2)
சிவன்கோவில் கிழக்குதெரு (வார்டு 2)
வாணியச் செட்டி தெரு (வார்டு 2)",398,416,814,,தொண்டி ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,38,210,பேரூராட்சி ,,
210-86,"வில்ஹெம் நடுநிலைப்பள்ளி, தொண்டி",22,826,477,4.6,புதிய கட்டிடம் - தெற்குப்பகுதி,தொண்டி,தொண்டி,"முகமதுஅபுபக்கர் தெரு (வார்டு 4)
ரங்கம்படையாச்சி தெரு (வார்டு 4)
நாட்டாண்மைகாரத் தெரு (வார்டு 4)
பெருமாள் கோவில் சன்னதிதெரு (வார்டு 2)
தரகன்காரன் தெரு (வார்டு 4)
முகமதுகாசிம் பங்களா தெரு (வார்டு 4)
பள்ளிவாசல் கிழக்குத்தெரு (வார்டு 4)
காவல்காரன் தெரு (வார்டு 4)
பள்ளிவாசல் தெரு (வார்டு 4)
முகைதீன் குப்பைசந்து (வார்டு 4)
யூசுப் தெரு (வார்டு 4)
லெப்பைமார் சந்து கிழக்குத்தெரு (வார்டு 4)
பலகைசாகிபு தெரு (வார்டு 4)
பள்ளிவாசல் கிழக்குத்தெரு (வார்டு 4)
கிட்டங்கி தெரு (வார்டு 4)",416,409,825,,தொண்டி ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,37,210,பேரூராட்சி ,,
210-87,"வில்ஹெம் நடுநிலைப்பள்ளி, தொண்டி",48,1193,924,5.2,"பழைய கட்டிடம், மேற்குப்பக்கம், ",தொண்டி,தொண்டி,"கடையர் தெரு (வார்டு 3)
வெள்ளாளர் தெரு (வார்டு 3)
ஆதினமிளகிபடையாச்சி தெரு (வார்டு 3)
பக்கிரிபடையாச்சி தெரு (வார்டு 3)
கடற்கரைரோடுபக்கம் (வார்டு 3)
காளியப்பபடையாச்சி தெரு (வார்டு 3)
முத்துக்கருப்பன்படையாச்சி தெரு (வார்டு 5)
பழனிவேல்படையாச்சி தெரு (வார்டு 5)
வீரப்பத்திரன் படையாச்சி தெரு (வார்டு 5)
வேலுபடையாச்சி தெரு (வார்டு 5)",606,587,1193,,தொண்டி ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,47,210,பேரூராட்சி ,,
210-88,"வில்ஹெம் நடுநிலைப்பள்ளி, தொண்டி",9,882,670,1.3,புதிய கட்டிடம் - வடக்குப்பகுதி,தொண்டி,தொண்டி,"மீனவர் காலனி(வார்டு 5)
நடுத் தெரு( வார்டு 6)
முகமது இப்ராகிம் காசியப்ப தெரு(வார்டு 6)
முகைதீன் குப்பை தெரு(வார்டு 6)",437,445,882,,தொண்டி ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,32,210,பேரூராட்சி ,,
210-89,"வில்ஹெம் நடுநிலைப்பள்ளி, தொண்டி",4,626,376,1.1,புதிய கட்டிடம் - மேற்குபகுதி-2,தொண்டி,தொண்டி,"மரைக்காயர் தெரு(வார்டு 5)
ஓடாவித் தெரு(வார்டு 6)
மஸ்தான்ராவுத்தர்தெரு(வார்டு 6)
முகமதுமுகைதீன்காஜியார் தெரு (வார்டு 6)
சேக்தாவுது தெரு (வார்டு 6)",305,321,626,,தொண்டி ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,25,210,பேரூராட்சி ,,
210-90,"செய்யது முகம்மது அரசு மேல்நிலைப்பள்ளி, தொண்டி",5,738,445,1.1,புதியகட்டிடம் தெற்குப்பக்கம்இ கிழக்குப்பகுதி,தொண்டி,தொண்டி,"சீனிமாதர் தெரு வார்டு 7
பள்ளிவாசல் மேற்கு தெரு வார்டு 7
நடுத் தெரு (வார்டு 7)
பள்ளிவாசல் தெரு (வார்டு 7)
முகமது காசீம் தெரு வார்டு 8
மலுங்கு பக்கீர் தெரு (வார்டு 8)
மேலத் தெரு (வார்டு 9)
லெப்பை சாகிப் தெரு வார்டு 7
காதர்முகைதீன் தெரு (வார்டு 8)",362,376,738,,தொண்டி ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,32,210,பேரூராட்சி ,,
210-91,"செய்யது முகம்மது அரசு மேல்நிலைப்பள்ளி, தொண்டி",3,696,402,0.7,புதியகட்டிடம் தெற்குப்பக்கம்இ கிழக்குப்பகுதி,தொண்டி,தொண்டி,"மரைக்காயர் தெரு (வார்டு 6)
சாகிப் தம்பி தெரு (வார்டு 7)
நல்ல கிணறு தெரு (வார்டு 7)
சேகு முகமது அலியார் (வார்டு 6)
வாப்சா தெரு வார்டு 7)
முகமது அப்துல் காதர் தெரு (வார்டு 7)
தர்கா வடக்குத் தெரு வார்டு 8",314,382,696,,தொண்டி ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,30,210,பேரூராட்சி ,,
210-92,"செய்யது முகம்மது அரசு மேல்நிலைப்பள்ளி, தொண்டி",2,719,481,0.4,"மேற்குப்பக்கம் - தெற்குப்பக்க கட்டிடம் - தெற்குப்பக்கம் - 7ஆம் வகுப்பு,",தொண்டி,தொண்டி,"ரேடியோ நிலையம் தெரு வார்டு 10
இபுராஹீம் பீவி தெரு வார்டு 8
முகமது அலியார் தெரு வார்டு 9
பிச்சை ராவுத்தர் வடக்குத்தெரு வார்டு 9
பிச்சை ராவுத்தர் மேலத் தெரு வார்டு 9",367,352,719,,தொண்டி ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,28,210,பேரூராட்சி ,,
210-93,"செய்யது முகம்மது அரசு மேல்நிலைப்பள்ளி, தொண்டி",50,1260,864,5.8,மேற்குப்பக்கம் - தெற்குப்பக்க கட்டிடம் - வடக்குப்பக்கம் - 6ஆம் வகுப்பு,தொண்டி,தொண்டி,தெற்கு தோப்புத் தெரு வார்டு 10,641,619,1260,,தொண்டி ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,45,210,பேரூராட்சி ,,
210-94,"செய்யது முகம்மது அரசு மேல்நிலைப்பள்ளி, தொண்டி",9,1140,640,1.4,மேற்குப்பக்கம் - வடக்குப் பக்க கட்டிடம்-தெற்குப்பக்கம் - 12ம் வகுப்பு,தொண்டி,தொண்டி,"முகமது யூசுப் தெரு (வார்டு 12)
குஞ்சுமரைக்காயர் தெரு (வார்டு 12)
லெப்பை தெற்கு தெரு (வார்டு 13)
முகமது அப்துல் காதர் தெரு (வார்டு 13)
லெப்பை தெற்கு தெரு (வார்டு 13)
முகமது இபுராம்சா தெரு (வார்டு 13)
நடுத்தெரு (வார்டு 13)
அலியார் வடக்குத்தெரு (வார்டு 13)
தர்ஹா தெரு (வார்டு 8)
எம். ஜி. ஆர். நகர்(வார்டு 8)
வாலம்பட்டி வடக்குத்தெரு
முகைதீன் மலுங்கு தெரு(வார்டு 13)
உசேன் தெரு (வார்டு 12)
மீரா சாகிப் தெரு (வார்டு 12)
டுத்தெரு (வார்டு 12)
அசன் அலியார் சந்து (வார்டு 12)
முஹமது ராவுத்தர் தெரு (வார்டு 12)
முகமது அலியார் தெரு (வார்டு 12)",568,572,1140,,தொண்டி ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,49,210,பேரூராட்சி ,,
210-95,"செய்யது முகம்மது அரசு மேல்நிலைப்பள்ளி, தொண்டி",5,843,427,1.2,மேற்குப்பக்கம் - வடக்குப் பக்க கட்டிடம்-வடக்குப்பக்கம் - 11ம் வகுப்பு,தொண்டி,தொண்டி,"நூர் இபுராகிம் தெரு (வார்டு 9)
ஹைஸ்கூல் தெரு (வார்டு 9)
அனீஸ் நகர் (வார்டு 9)
பெருமாள்கோவில் சன்னதி தெரு (வார்டு 13)
பாது சாகிப் தெரு (வார்டு 13)
நடுத்தெரு (வார்டு 13)
கமது நூர்தின் தெரு
செய்யது மலுங்கு தெரு (வார்டு 12)
முகமது தம்பி தெரு
முகமது தம்பி தெரு (வார்டு 13)
பெருமாள்கோவில் சன்னதி தெரு (வார்டு 13)
வட்டாணம் ரோடு (வார்டு 1)
காதர் முகைதீன் தெரு (வார்டு 13)
பெருமாள்கோவில் சன்னதி தெரு (வார்டு 13)
பெருமாள்கோவில் சன்னதி தெரு (வார்டு 13)",418,424,843,1,தொண்டி ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,38,210,பேரூராட்சி ,,
210-96,"செய்யது முகம்மது அரசு மேல்நிலைப்பள்ளி, தொண்டி",24,895,680,3.5,புதிய கட்டிடம் - தெற்கு பகுதி - நடுப்பகுதி,தொண்டி,தொண்டி,"விளத்து மணக்கோட்டை (வார்டு 10)
கோடி வயல் (வார்டு 10)
காமராஜ்நகர் (வார்டு 11)
பெருமானேந்தல் (வார்டு 11)
புடனவயல் (வார்டு 11)
புதுக்குடியிருப்பு (வார்டு 11)",460,432,892,,பெருமானேந்தல்,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,34,210,பேரூராட்சி ,,
210-97,"செய்யது முகம்மது அரசு மேல்நிலைப்பள்ளி, தொண்டி",19,790,556,3.4,(புதிய கட்டிடம்) (வடக்குப்பக்கம்-கிழக்குப்பகுதி),தொண்டி,தொண்டி,"தர்ஹாகால் மாட்டுத் தெரு 3 (வார்டு 8)
நவக்குடி (வார்டு 11)
நரிக்குடி(வார்டு 10)
சேகு சாயிபு தெரு (வார்டு 7)
முகமது காசிம் தெரு வார்டு 8
சங்கம் கோதா தெரு வார்டு 8
தர்ஹா கால்மாட்டுத் தெரு 1 (வார்டு 8)
தர்ஹாகால் மாட்டுத் தெரு 2 (வார்டு 8)",391,399,790,,தொண்டி ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,32,210,பேரூராட்சி ,,
210-98,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, தொண்டி",18,818,595,3,மேற்குப்பக்கம் - மேற்குப்பகுதி,தொண்டி,தொண்டி,"காந்தியார் வீதி (வார்டு 3)
வட்டாணம் ரோடு (வார்டு 12)
மலுங்கு சாகிபு தெரு 1
மலுங்கு சாகிபு தெரு 3
மலுங்கு சாகிபு தெரு 4
மலுங்கு சாகிபு தெரு 7",394,422,816,,தொண்டி ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,33,210,பேரூராட்சி ,,
210-99,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, தொண்டி",56,669,516,10.9,மேற்குப்பக்கம் - கிழக்குப்பகுதி,தொண்டி,தொண்டி,"சின்னத்தொண்டி கிழக்குத் தெரு(வார்டு 14)
சின்னத்தொண்டி தெற்குத் தெரு(வார்டு 14)
சின்னத்தொண்டி வடக்குத் தெரு(வார்டு 14)
சின்னத்தொண்டி வடமேற்கு தெரு(வார்டு 14)
காந்தி நகர்(வார்டு 14)",346,323,669,,தொண்டி ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,28,210,பேரூராட்சி ,,
210-100,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, முத்துராமலிங்கபட்டணம்",27,824,575,4.7,,தொண்டி,தொண்டி,"முத்துராமலிங்கபட்டிணம்(வார்டு 15)
பெரிய வலசைப்பட்டிணம்(வார்டு 15)",416,408,824,,M.R. பட்டிணம் ,தொண்டி ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,31,210,பேரூராட்சி ,,
210-101,"அரசு உயா்நிலைப்பள்ளி,  தளிர்மருங்கூர்",43,928,617,7,கிழக்கு பகுதி,தளிர்மருங்கூர்,திருவாடனை ,"பொன்னிமங்களம்(வார்டு 1)
புத்தநேந்தல்(வார்டு 1)
தளிர்மருங்கூர்(வார்டு 1)",454,474,928,,தளிர்மருங்கூர்,தளிர்மருங்கூர்,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,36,210,,,
210-102,"அரசு உயா்நிலைப்பள்ளி,  தளிர்மருங்கூர்",46,864,582,7.9,மேற்கு பகுதி ,தளிர்மருங்கூர்,திருவாடனை ,"பாகனவயல்(வார்டு 3)
கூத்தநேந்தல்(வார்டு 3)
விஸ்வநாதனேந்தல்(வார்டு 3)
தண்டலங்குடி(வார்டு 3)
காடாங்குடி(வார்டு 3)
உசிலனக்கோட்டை(வார்டு 4)
பழையனக்கோட்டை(வார்டு 4)
அமரன்வயல்(வார்டு 4)",451,410,861,,தளிர்மருங்கூர்,தளிர்மருங்கூர்,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,37,210,,,
210-103,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, வடக்குப்பகுதி மாவூர்",12,579,419,2.9,,மாவூர்,திருவாடனை ,"மாவூர்(வார்டு 1)
மங்களம்(வார்டு 2)
மருதங்குடி(வார்டு 2)",267,312,579,,தினையத்தூர் ,செக்காந்திடல் ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623407,23,210,,,
210-104,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, தினையத்தூர்",74,922,645,11.5,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, தினையத்தூர்",மாவூர்,திருவாடனை ,கங்கனாரேந்தல்(வார்டு 3),470,452,922,,தினையத்தூர் ,செக்காந்திடல் ,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623407,35,210,,104,
210-104,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, தினையத்தூர்",,,,#DIV/0!,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, தினையத்தூர்",பாண்டுகுடி ,திருவாடனை ,தினையத்தூர்(வார்டு 4),,,0,,,,,,,,,,210,,104,
210-105,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  கடம்பாகுடி",13,752,624,2.1,கிழக்குப்பகுதி,அச்சங்குடி,திருவாடனை ,"கடம்பாகுடி(வார்டு 1)
கூத்தக்குடி, ஆண்டிவயல் (வார்டு 3)",403,349,752,,"கடம்பாகுடி மற்றும் 
அச்சங்குடி ",கடம்பாகுடி,தொண்டி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,29,210,,,
210-106,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி,  கடம்பாகுடி",30,806,579,5.2,மேற்கு பகுதி,அச்சங்குடி,திருவாடனை ,"அச்சங்குடி (வார்டு 2)
கருங்கவயல் (வார்டு 2)
மல்லிக்குடி (வார்டு 3)
இலங்குடி வார்டு 3",404,402,806,,"கடம்பாகுடி மற்றும் 
அச்சங்குடி ",கடம்பாகுடி,தொண்டி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,32,210,,,
210-107,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, ஆதியூர்.",15,579,374,4,தெற்கு கட்டிடம்,ஆதியூர்,திருவாடனை ,ஆதியூர் காரங்காடு (வார்டு 1),292,286,579,1,ஆதியூர்,ஆதியூர்,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,22,210,,,
210-108,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, ஆதியூர்.",30,1040,780,3.8,கிழக்கு கட்டிடம்,ஆதியூர்,திருவாடனை ,"படப்பனேந்தல் (வார்டு 2)
கருப்பூர் (வார்டு 2",537,502,1040,1,ஆதியூர்,ஆதியூர்,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,39,210,,,
210-109,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, அரும்பூர்",45,677,560,8,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, அரும்பூர்",அரும்பூர்,திருவாடனை ,"அரும்பூர் வார்டு1
வேலத்தூர் வார்டு 1",325,352,677,,அரும்பூர்,கிளரும்பூர் ,தொண்டி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,27,210,,,
210-110,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி,  அரும்பூர்",38,723,571,6.7,மேற்கு பக்கம்,அரும்பூர்,திருவாடனை ,"பட்டமங்கலம் வார்டு 2
கட்டுகுடி வார்டு 2",372,351,723,,பட்டமங்களம் ,கிளரும்பூர் ,தொண்டி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,29,210,,,
210-111,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, குளத்தூர்",13,615,464,2.8,,குளத்தூர்,திருவாடனை ,"மேற்குக்குடியிருப்பு 1வதுவார்டு
கிழக்குக்குடியிருப்பு 1வதுவார்டு
தெற்குக்குடியிருப்பு 1வதுவார்டு",317,298,615,,குளத்தூர்,குளத்தூர்,தொண்டி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,25,210,,,
210-112,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, கீழ்க்குடி",42,995,754,5.6,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, கீழ்க்குடி",குளத்தூர்,திருவாடனை ,"கீழக்குடி(வார்டு 13)
பூசாரியேந்தல்(வார்டு 13)
செக்காந்திடல், மேற்கு குடியிருப்பு(வார்டு 13)
செக்காந்திடல் , நடு குடியிருப்பு(வார்டு 13)
செக்காந்திடல் கிழக்கு குடியிருப்பு(வார்டு 13)
குணபதிமங்களம் மேற்கு குடியிருப்பு (வார்டு 3)
குணபதிமங்களம் கிழக்கு குடியிருப்பு(வார்டு 3)",501,494,995,,செக்காந்திடல்,செக்காந்திடல்,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623409,40,210,,,
210-113,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, திருவெற்றியூர்,",22,726,564,3.9,வடக்குப்பகுதி,திருவெற்றியூர்,திருவாடனை ,திருவெற்றியூர்(வார்டு 1),371,355,726,,திருவெற்றியூர்,திருவெற்றியூர்,தொண்டி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,29,210,,,
210-114,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, திருவெற்றியூர்,",19,537,409,4.6,தெற்குப் பகுதி,திருவெற்றியூர்,திருவாடனை ,"புதுப்பையூர்(வார்டு 2)
கீழக்கைக்குடி(வார்டு 3)",258,278,536,,திருவெற்றியூர்,திருவெற்றியூர்,தொண்டி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,22,210,,,
210-115,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, முகிழ்தகம்",41,1177,832,4.9,கிழக்கு பகுதி,முகிழ்தகம்,திருவாடனை ,முகிழ்தகம்(வார்டு 1),620,555,1177,2,முகிழ்தகம்,முகிழ்தகம்,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623403,42,210,,,
210-116,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, முகிழ்தகம்",23,555,392,5.9,தெற்குப் பகுதி,முகிழ்தகம்,திருவாடனை ,"முகிழ்தகம் 2 (வார்டு 1)
முத்துவடுகநாதபட்டிணம்(வார்டு 2)",296,258,554,,முகிழ்தகம்,முகிழ்தகம்,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623403,22,210,,,
210-117,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, எம்வி பட்டினம்",40,1126,725,5.5,,முகிழ்தகம்,திருவாடனை ,"சோழியக்குடி (வார்டு 2)
சம்பை (வார்டு 3)
கடம்பனேந்தல் (வார்டு 3)",571,553,1124,,முகிழ்தகம்,முகிழ்தகம்,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623403,40,210,,,
210-118,"அரசு உயா்நிலைப்பள்ளி, நம்புதாளை.",10,860,487,2.1,புதிய கட்டிடம் - மேற்குப்பகுதி,நம்புதாளை,திருவாடனை ,நம்புதாளை(வார்டு 1),417,443,860,,நம்புதாளை,நம்புதாளை,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623403,32,210,,,
210-119,"அரசு உயா்நிலைப்பள்ளி, நம்புதாளை.",6,690,371,1.6,புதிய கட்டிடம் - மையப்பகுதி,நம்புதாளை,திருவாடனை ,"நம்புதாளை(வார்டு 2)
",347,343,690,,நம்புதாளை,நம்புதாளை,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623403,25,210,,,
210-120,"அரசு உயா்நிலைப்பள்ளி, நம்புதாளை.",12,1074,639,1.9,கிழக்குப் பக்கம் - மேற்குப்பகுதி,நம்புதாளை,திருவாடனை ,"நம்புதாளை வார்டு 3
",528,545,1073,,நம்புதாளை,நம்புதாளை,தொண்டி ,தொண்டி ,திருவாடனை ,இராமநாதபுரம் ,623403,39,210,,,
